Source,Target,Weight,W,sign
18,88,0.287644177393895,0.287644177393895,1
65,97,0.28836709987902,0.28836709987902,1
14,35,0.28840653909725533,-0.28840653909725533,0
16,51,0.28858184572471823,0.28858184572471823,1
3,31,0.2892404869434097,-0.2892404869434097,0
32,52,0.2894349879677546,0.2894349879677546,1
17,58,0.2894724216571522,-0.2894724216571522,0
44,10,0.28961627318989935,0.28961627318989935,1
42,35,0.2896433137106886,-0.2896433137106886,0
19,24,0.29010934639156066,0.29010934639156066,1
18,53,0.2901285433599834,-0.2901285433599834,0
65,87,0.2905650003145897,-0.2905650003145897,0
72,7,0.29068553496920285,-0.29068553496920285,0
90,51,0.2908497382538596,-0.2908497382538596,0
35,5,0.29098540736551626,-0.29098540736551626,0
83,81,0.2911141086924872,-0.2911141086924872,0
88,17,0.29169878996394766,-0.29169878996394766,0
25,8,0.291765414170111,-0.291765414170111,0
86,10,0.2918715255359289,-0.2918715255359289,0
83,39,0.2922052321888658,0.2922052321888658,1
13,40,0.2925428512085285,0.2925428512085285,1
87,42,0.29268574682014853,-0.29268574682014853,0
28,36,0.2928570123371933,0.2928570123371933,1
12,44,0.29328587279318796,-0.29328587279318796,0
55,23,0.2935622372562633,-0.2935622372562633,0
12,73,0.29478533747465124,0.29478533747465124,1
37,7,0.2950555886096574,0.2950555886096574,1
65,46,0.2951460689576101,0.2951460689576101,1
32,39,0.29527786806794964,0.29527786806794964,1
38,70,0.29667449512031224,-0.29667449512031224,0
72,16,0.29677541820035935,0.29677541820035935,1
37,80,0.2970683289445202,0.2970683289445202,1
25,33,0.29718580224754854,-0.29718580224754854,0
79,50,0.2973575131015937,-0.2973575131015937,0
14,50,0.29748553892382307,0.29748553892382307,1
14,78,0.29762610448885296,0.29762610448885296,1
37,35,0.29767311189776935,-0.29767311189776935,0
3,63,0.2977414497162997,-0.2977414497162997,0
82,33,0.29774893657133855,0.29774893657133855,1
28,1,0.2978019101767819,-0.2978019101767819,0
21,83,0.2984057148298028,0.2984057148298028,1
32,88,0.29865605361518244,-0.29865605361518244,0
13,81,0.2988703054018798,-0.2988703054018798,0
3,54,0.29897625804756056,-0.29897625804756056,0
39,22,0.29971092780987485,0.29971092780987485,1
